date,open,high,low,close,volume
2020-09-18 12:50:00,93.7,93.715,93.66,93.66,2219.0
2020-09-18 12:51:00,93.65,93.65,93.48,93.5,3818.0
2020-09-18 12:52:00,93.51,93.56,93.51,93.52,2079.0
2020-09-18 12:53:00,93.48,93.59,93.48,93.59,3373.0
2020-09-18 12:54:00,93.53,93.53,93.41,93.47,5004.0
2020-09-18 12:55:00,93.465,93.535,93.46,93.52,2350.0
2020-09-18 12:56:00,93.5,93.5,93.42,93.42,2186.0
2020-09-18 12:57:00,93.415,93.46,93.415,93.46,581.0
2020-09-18 12:58:00,93.38,93.43,93.32,93.35,3758.0
2020-09-18 12:59:00,93.405,93.5,93.405,93.5,3946.0
2020-09-18 13:00:00,93.52,93.59,93.5,93.59,2009.0
2020-09-18 13:01:00,93.63,93.74,93.63,93.74,2810.0
2020-09-18 13:02:00,93.71,93.84,93.71,93.84,2807.0
2020-09-18 13:03:00,93.87,93.94,93.82,93.86,5478.0
2020-09-18 13:04:00,93.84,94.06,93.84,94.04,2999.0
2020-09-18 13:05:00,94.05,94.08,94.03,94.04,3240.0
2020-09-18 13:06:00,93.95,93.96,93.9,93.91,3241.0
2020-09-18 13:07:00,93.96,93.99,93.93,93.93,1468.0
2020-09-18 13:08:00,93.94,93.95,93.91,93.91,962.0
2020-09-18 13:09:00,93.9,93.9,93.84,93.84,2956.0
2020-09-18 13:10:00,93.8,93.8,93.71,93.73,4137.0
2020-09-18 13:11:00,93.75,93.75,93.675,93.69,1961.0
2020-09-18 13:12:00,93.71,93.77,93.71,93.72,3430.0
2020-09-18 13:13:00,93.73,93.85,93.73,93.825,3180.0
2020-09-18 13:14:00,93.86,93.89,93.85,93.89,1227.0
2020-09-18 13:15:00,93.99,94.12,93.99,94.12,1913.0
2020-09-18 13:16:00,94.12,94.12,93.95,93.95,2320.0
2020-09-18 13:17:00,93.95,93.95,93.91,93.93,1339.0
2020-09-18 13:18:00,93.95,93.95,93.83,93.84,3248.0
2020-09-18 13:19:00,93.84,93.89,93.84,93.89,1756.0
2020-09-18 13:20:00,93.88,93.9,93.84,93.85,2303.0
2020-09-18 13:21:00,93.86,93.87,93.82,93.82,1102.0
2020-09-18 13:22:00,93.79,93.805,93.78,93.805,1282.0
2020-09-18 13:23:00,93.82,93.83,93.69,93.69,5103.0
2020-09-18 13:24:00,93.69,93.69,93.59,93.6,2801.0
2020-09-18 13:25:00,93.59,93.69,93.59,93.69,5818.0
2020-09-18 13:26:00,93.68,93.7,93.68,93.69,3432.0
2020-09-18 13:27:00,93.71,93.72,93.64,93.67,5506.0
2020-09-18 13:28:00,93.64,93.66,93.535,93.535,6699.0
2020-09-18 13:29:00,93.54,93.57,93.54,93.55,4006.0
2020-09-18 13:30:00,93.52,93.55,93.43,93.43,13985.0
2020-09-18 13:31:00,93.38,93.38,93.17,93.17,5833.0
2020-09-18 13:32:00,93.15,93.17,93.05,93.09,9786.0
